Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R215025,2025-10-01 20:34:00,COMPLETED,1,40.80501166,-73.96358896,40.8004385,-73.9649993,2025-10-01 20:34:35,2025-10-01 20:36:33,2025-10-01 20:34:35,2025-10-01 20:36:33
R215018,2025-10-01 20:34:00,COMPLETED,1,40.81049213,-73.95963371,40.80227709,-73.96126147,2025-10-01 20:34:08,2025-10-01 20:36:07,2025-10-01 20:34:08,2025-10-01 20:36:07
R215019,2025-10-01 20:34:00,COMPLETED,1,40.79715736,-73.96434467,40.807582,-73.9647249,2025-10-01 20:34:00,2025-10-01 20:37:02,2025-10-01 20:34:00,2025-10-01 20:37:02
R215024,2025-10-01 20:34:00,COMPLETED,1,40.8077241,-73.9596123,40.81490288,-73.96038674,2025-10-01 20:34:00,2025-10-01 20:37:37,2025-10-01 20:34:00,2025-10-01 20:37:42
R215010,2025-10-01 20:30:00,COMPLETED,1,40.81515917,-73.94869499,40.80827498,-73.9638317,2025-10-01 20:33:19,2025-10-01 20:37:10,2025-10-01 20:33:19,2025-10-01 20:37:07
R215006,2025-10-01 20:29:00,COMPLETED,1,40.80799583,-73.96388501,40.82030769,-73.95364367,2025-10-01 20:29:37,2025-10-01 20:37:58,2025-10-01 20:29:37,2025-10-01 20:37:58
R215020,2025-10-01 20:34:00,COMPLETED,1,40.8172559,-73.9587133,40.81378318,-73.96168125,2025-10-01 20:36:33,2025-10-01 20:37:40,2025-10-01 20:36:34,2025-10-01 20:37:46
R215017,2025-10-01 20:33:00,COMPLETED,1,40.8097858,-73.9581027,40.7969447,-73.9624368,2025-10-01 20:34:08,2025-10-01 20:37:16,2025-10-01 20:34:08,2025-10-01 20:37:16
R215026,2025-10-01 20:35:00,COMPLETED,1,40.81793203,-73.95879787,40.82047236,-73.95422,2025-10-01 20:36:43,2025-10-01 20:38:18,2025-10-01 20:36:43,2025-10-01 20:38:18
R215035,2025-10-01 20:37:00,COMPLETED,1,40.7973404,-73.9636483,40.8031528,-73.9578179,2025-10-01 20:37:00,2025-10-01 20:38:36,2025-10-01 20:37:00,2025-10-01 20:38:36
R215021,2025-10-01 20:34:00,COMPLETED,1,40.80934588,-73.95902317,40.81119156,-73.95080566,2025-10-01 20:35:47,2025-10-01 20:37:58,2025-10-01 20:35:47,2025-10-01 20:38:01
R215032,2025-10-01 20:36:00,COMPLETED,1,40.8108493,-73.9590479,40.80826406,-73.95010952,2025-10-01 20:36:08,2025-10-01 20:38:59,2025-10-01 20:36:08,2025-10-01 20:38:59
R215022,2025-10-01 20:34:00,COMPLETED,1,40.80878683,-73.96359131,40.8007932,-73.9602057,2025-10-01 20:35:53,2025-10-01 20:38:23,2025-10-01 20:35:53,2025-10-01 20:38:54
R215027,2025-10-01 20:36:00,COMPLETED,1,40.80658383,-73.96137044,40.7997782,-73.9603894,2025-10-01 20:36:52,2025-10-01 20:38:39,2025-10-01 20:36:52,2025-10-01 20:38:39
R215023,2025-10-01 20:34:00,COMPLETED,2,40.81025314,-73.96170807,40.79851151,-73.96405792,2025-10-01 20:36:12,2025-10-01 20:39:46,2025-10-01 20:36:12,2025-10-01 20:39:46
R215036,2025-10-01 20:38:00,COMPLETED,1,40.80703935,-73.96089837,40.80233812,-73.96142503,2025-10-01 20:38:59,2025-10-01 20:40:13,2025-10-01 20:38:59,2025-10-01 20:40:00
R215029,2025-10-01 20:36:00,COMPLETED,1,40.80791589,-73.96367848,40.80866299,-73.95028286,2025-10-01 20:36:09,2025-10-01 20:40:11,2025-10-01 20:36:09,2025-10-01 20:40:11
R215031,2025-10-01 20:36:00,COMPLETED,1,40.8075355,-73.9625727,40.80611,-73.95424,2025-10-01 20:37:09,2025-10-01 20:40:51,2025-10-01 20:37:09,2025-10-01 20:40:51
R215034,2025-10-01 20:37:00,COMPLETED,2,40.8036251,-73.9664276,40.81086731,-73.95973206,2025-10-01 20:37:51,2025-10-01 20:40:18,2025-10-01 20:37:51,2025-10-01 20:40:18
R215030,2025-10-01 20:36:00,COMPLETED,1,40.81809239,-73.95916734,40.8037105,-73.96477014,2025-10-01 20:36:51,2025-10-01 20:41:38,2025-10-01 20:36:51,2025-10-01 20:41:38
